sample_index	mutation_index	cluster_index	var	depth
0	0	0	45	102
0	1	1	10	103
0	2	2	1	86
0	3	3	4	99
0	4	4	2	73
0	5	5	3	113
0	6	6	3	113
0	7	7	10	97
0	8	8	33	119
0	9	9	11	108
0	10	10	0	87
0	11	11	7	85
0	12	12	1	102
0	13	13	1	99
0	14	14	3	92
0	15	15	7	110
0	16	16	3	92
0	17	17	36	92
0	18	18	2	103
0	19	19	0	101
0	20	20	7	98
0	21	21	4	79
0	22	22	5	90
0	23	23	4	93
0	24	24	1	107
0	25	25	4	117
0	26	26	3	106
0	27	27	0	106
0	28	28	0	105
0	29	29	2	81
0	30	30	17	99
0	31	31	1	85
0	32	32	1	81
0	33	33	1	109
0	34	34	0	119
0	35	35	1	98
0	36	36	1	95
0	37	37	2	98
0	38	38	2	114
0	39	39	2	126
0	40	40	0	118
0	41	41	6	96
0	42	42	11	118
0	43	43	2	109
0	44	44	2	99
0	45	45	0	90
0	46	46	0	115
0	47	47	1	98
0	48	48	0	90
0	49	49	1	112
1	0	0	39	103
1	1	1	9	115
1	2	2	0	109
1	3	3	1	117
1	4	4	4	101
1	5	5	0	97
1	6	6	1	98
1	7	7	8	112
1	8	8	19	118
1	9	9	7	106
1	10	10	0	91
1	11	11	5	84
1	12	12	1	91
1	13	13	1	101
1	14	14	6	108
1	15	15	1	89
1	16	16	4	103
1	17	17	28	80
1	18	18	2	96
1	19	19	0	101
1	20	20	4	96
1	21	21	2	89
1	22	22	4	90
1	23	23	6	81
1	24	24	2	103
1	25	25	4	93
1	26	26	0	116
1	27	27	0	106
1	28	28	0	98
1	29	29	0	87
1	30	30	12	89
1	31	31	0	96
1	32	32	4	105
1	33	33	2	117
1	34	34	0	87
1	35	35	0	106
1	36	36	2	103
1	37	37	1	80
1	38	38	1	112
1	39	39	0	83
1	40	40	2	102
1	41	41	5	103
1	42	42	14	111
1	43	43	1	95
1	44	44	3	105
1	45	45	0	81
1	46	46	1	101
1	47	47	0	120
1	48	48	1	102
1	49	49	1	106
2	0	0	28	91
2	1	1	0	80
2	2	2	0	88
2	3	3	1	88
2	4	4	4	112
2	5	5	1	84
2	6	6	2	97
2	7	7	16	93
2	8	8	32	99
2	9	9	10	107
2	10	10	2	103
2	11	11	3	80
2	12	12	3	103
2	13	13	5	112
2	14	14	1	95
2	15	15	3	119
2	16	16	0	102
2	17	17	31	99
2	18	18	5	119
2	19	19	0	77
2	20	20	6	98
2	21	21	0	101
2	22	22	0	116
2	23	23	5	102
2	24	24	0	98
2	25	25	0	101
2	26	26	1	89
2	27	27	0	92
2	28	28	0	97
2	29	29	4	89
2	30	30	14	110
2	31	31	0	121
2	32	32	1	106
2	33	33	0	102
2	34	34	1	100
2	35	35	1	106
2	36	36	0	90
2	37	37	2	110
2	38	38	0	80
2	39	39	0	101
2	40	40	0	117
2	41	41	5	80
2	42	42	10	100
2	43	43	1	94
2	44	44	0	80
2	45	45	2	122
2	46	46	0	85
2	47	47	0	116
2	48	48	0	105
2	49	49	0	83
3	0	0	40	81
3	1	1	6	101
3	2	2	4	84
3	3	3	1	81
3	4	4	9	132
3	5	5	2	103
3	6	6	0	107
3	7	7	17	117
3	8	8	36	91
3	9	9	8	100
3	10	10	1	108
3	11	11	10	110
3	12	12	8	92
3	13	13	10	85
3	14	14	5	111
3	15	15	2	91
3	16	16	9	91
3	17	17	48	107
3	18	18	2	82
3	19	19	4	103
3	20	20	9	113
3	21	21	1	94
3	22	22	1	97
3	23	23	5	97
3	24	24	3	88
3	25	25	1	111
3	26	26	1	108
3	27	27	1	95
3	28	28	3	106
3	29	29	1	94
