103	106	91	105	108	95	90	106	101	88	126	94	93	107	111	93	86	111	99	108
111	92	112	108	107	100	112	94	106	104	80	109	105	90	104	115	92	101	92	95
83	107	89	108	109	83	111	93	94	107	98	99	94	102	111	93	107	105	97	96
96	125	96	103	101	90	87	113	97	99	88	133	100	104	102	107	93	110	85	104
88	107	93	109	98	98	98	99	107	92	97	87	101	98	96	109	91	99	99	96
96	88	95	82	88	90	109	98	94	96	106	64	96	94	98	80	101	88	114	91
99	98	108	99	82	104	101	125	92	110	103	95	98	90	96	100	95	88	109	124
106	117	104	114	84	112	92	120	102	94	98	95	114	91	99	101	90	96	104	85
100	95	94	86	107	93	100	95	111	81	96	91	115	97	94	111	98	103	99	111
124	101	99	88	94	91	86	108	113	97	93	93	103	102	104	112	102	91	75	103
