sample_index	mutation_index	cluster_index	var	depth
0	0	0	43	110
0	1	1	1	105
0	2	2	41	107
0	3	3	35	99
0	4	4	1	91
0	5	5	0	81
0	6	6	0	87
0	7	7	3	83
0	8	8	6	112
0	9	9	27	92
0	10	10	0	120
0	11	11	2	98
0	12	12	0	96
0	13	13	2	93
0	14	14	0	102
0	15	15	5	94
0	16	16	0	108
0	17	17	0	81
0	18	18	0	108
0	19	19	1	103
0	20	20	1	96
0	21	21	6	85
0	22	22	14	103
0	23	23	1	80
0	24	24	0	107
0	25	25	1	85
0	26	26	38	120
0	27	27	19	103
0	28	28	7	86
0	29	29	3	105
0	30	30	3	90
0	31	31	16	91
0	32	32	1	94
0	33	33	0	116
0	34	34	1	90
0	35	35	1	106
0	36	36	0	99
0	37	37	21	107
0	38	38	25	89
0	39	39	0	102
0	40	40	2	89
0	41	41	41	100
0	42	42	0	80
0	43	43	16	93
0	44	44	4	88
0	45	45	0	109
0	46	46	19	99
0	47	47	3	99
0	48	48	0	105
0	49	49	1	98
1	0	0	32	91
1	1	1	0	105
1	2	2	52	115
1	3	3	38	92
1	4	4	1	78
1	5	5	3	95
1	6	6	1	86
1	7	7	4	92
1	8	8	13	106
1	9	9	36	105
1	10	10	1	93
1	11	11	3	107
1	12	12	0	86
1	13	13	0	123
1	14	14	8	98
1	15	15	2	106
1	16	16	1	97
1	17	17	4	90
1	18	18	1	100
1	19	19	1	96
1	20	20	6	104
1	21	21	12	103
1	22	22	16	94
1	23	23	0	99
1	24	24	0	98
1	25	25	4	108
1	26	26	34	90
1	27	27	26	92
1	28	28	21	91
1	29	29	2	110
1	30	30	0	101
1	31	31	10	90
1	32	32	1	98
1	33	33	0	89
1	34	34	3	104
1	35	35	4	123
1	36	36	0	107
1	37	37	22	99
1	38	38	39	100
1	39	39	2	118
1	40	40	0	87
1	41	41	44	109
1	42	42	5	98
1	43	43	31	102
1	44	44	3	105
1	45	45	3	94
1	46	46	33	109
1	47	47	0	80
1	48	48	0	112
1	49	49	0	99
2	0	0	38	97
2	1	1	0	85
2	2	2	45	104
2	3	3	34	88
2	4	4	1	110
2	5	5	0	96
2	6	6	0	87
2	7	7	2	96
2	8	8	10	86
2	9	9	35	104
2	10	10	4	97
2	11	11	0	103
2	12	12	0	92
2	13	13	0	98
2	14	14	9	119
2	15	15	4	106
2	16	16	0	80
2	17	17	6	105
2	18	18	3	99
2	19	19	3	107
2	20	20	6	91
2	21	21	7	96
2	22	22	16	104
2	23	23	0	100
2	24	24	0	85
2	25	25	0	82
2	26	26	37	99
2	27	27	17	79
2	28	28	10	94
2	29	29	1	119
2	30	30	2	96
2	31	31	13	107
2	32	32	1	103
2	33	33	0	87
2	34	34	2	108
2	35	35	0	84
2	36	36	6	112
2	37	37	20	88
2	38	38	44	103
2	39	39	0	84
2	40	40	3	111
2	41	41	35	86
2	42	42	9	98
2	43	43	24	111
2	44	44	0	81
2	45	45	6	100
2	46	46	27	81
2	47	47	1	99
2	48	48	0	88
2	49	49	0	96
3	0	0	25	98
3	1	1	0	98
3	2	2	39	100
3	3	3	41	106
3	4	4	1	112
3	5	5	1	102
3	6	6	0	103
3	7	7	2	94
3	8	8	4	92
3	9	9	31	107
3	10	10	0	98
3	11	11	0	80
3	12	12	0	108
3	13	13	1	98
3	14	14	0	114
3	15	15	3	110
3	16	16	2	111
3	17	17	5	99
3	18	18	2	110
3	19	19	0	88
3	20	20	4	115
3	21	21	8	110
3	22	22	14	94
3	23	23	0	81
3	24	24	0	96
3	25	25	1	97
3	26	26	16	84
3	27	27	19	109
3	28	28	8	75
3	29	29	3	118
3	30	30	1	100
3	31	31	14	88
3	32	32	1	102
3	33	33	1	107
3	34	34	1	93
3	35	35	0	122
3	36	36	0	112
3	37	37	17	81
3	38	38	32	97
3	39	39	1	96
3	40	40	3	111
3	41	41	36	103
3	42	42	6	98
3	43	43	20	110
3	44	44	0	90
3	45	45	6	92
3	46	46	22	109
3	47	47	0	90
3	48	48	1	103
3	49	49	0	113
4	0	0	35	101
4	1	1	3	110
4	2	2	38	99
4	3	3	39	98
4	4	4	4	104
4	5	5	2	96
4	6	6	1	107
4	7	7	0	95
4	8	8	13	130
4	9	9	35	102
4	10	10	1	102
4	11	11	0	84
4	12	12	0	94
4	13	13	0	88
4	14	14	0	98
4	15	15	2	103
4	16	16	0	98
4	17	17	8	85
4	18	18	0	95
4	19	19	0	110
4	20	20	1	101
4	21	21	9	101
4	22	22	10	94
4	23	23	0	88
4	24	24	0	99
4	25	25	2	110
4	26	26	52	106
4	27	27	22	102
4	28	28	18	112
4	29	29	3	93
4	30	30	0	120
4	31	31	13	92
4	32	32	0	88
4	33	33	1	93
4	34	34	0	94
4	35	35	0	90
4	36	36	2	91
4	37	37	26	101
4	38	38	42	102
4	39	39	0	107
4	40	40	0	92
4	41	41	46	106
4	42	42	4	96
4	43	43	20	97
4	44	44	1	97
4	45	45	2	96
4	46	46	21	89
4	47	47	0	102
4	48	48	0	90
4	49	49	1	101
5	0	0	32	101
5	1	1	0	114
5	2	2	30	89
5	3	3	28	92
5	4	4	1	121
5	5	5	2	105
5	6	6	1	100
5	7	7	4	127
5	8	8	4	117
5	9	9	24	77
5	10	10	1	100
5	11	11	8	104
5	12	12	0	110
5	13	13	1	111
5	14	14	7	91
5	15	15	2	103
5	16	16	0	115
5	17	17	5	98
5	18	18	4	110
5	19	19	0	100
5	20	20	1	113
5	21	21	0	104
5	22	22	20	104
5	23	23	0	93
5	24	24	1	108
5	25	25	0	90
5	26	26	46	111
5	27	27	18	81
5	28	28	20	95
5	29	29	2	90
5	30	30	0	92
5	31	31	17	103
5	32	32	1	96
5	33	33	0	100
5	34	34	5	115
5	35	35	0	101
5	36	36	1	97
5	37	37	25	110
5	38	38	37	114
5	39	39	0	102
5	40	40	0	87
5	41	41	34	90
5	42	42	0	102
5	43	43	22	106
5	44	44	0	99
5	45	45	3	90
5	46	46	29	97
5	47	47	0	105
5	48	48	0	112
5	49	49	2	78
6	0	0	30	96
6	1	1	0	119
6	2	2	30	98
6	3	3	37	100
6	4	4	2	90
6	5	5	3	116
6	6	6	0	75
6	7	7	3	99
6	8	8	11	112
6	9	9	42	103
6	10	10	4	123
6	11	11	1	85
6	12	12	2	95
6	13	13	1	113
6	14	14	2	100
6	15	15	0	93
6	16	16	0	113
6	17	17	3	101
6	18	18	2	95
6	19	19	1	89
6	20	20	6	104
6	21	21	4	97
6	22	22	11	88
