96	87	110	97	93	106	103	98	92	80	99	104	112	111	113	98	99	86	91	116
79	97	99	98	115	113	102	108	101	82	100	83	102	101	113	101	84	85	91	102
100	97	101	93	108	77	107	108	107	120	102	101	87	86	107	101	102	117	103	95
97	105	103	106	94	97	116	114	98	97	107	83	100	101	100	105	107	99	96	101
104	101	99	94	88	107	100	89	103	127	103	100	88	102	107	96	85	100	111	85
112	109	83	109	113	104	111	102	95	87	94	95	89	89	98	115	98	101	104	111
101	101	103	114	105	88	106	92	88	94	106	105	88	112	94	97	93	107	105	96
92	105	84	105	93	92	99	111	109	113	97	93	104	89	97	98	84	91	106	76
92	106	121	90	93	107	99	105	91	106	107	96	105	102	88	105	105	92	95	98
93	99	104	95	94	90	100	104	108	109	112	83	102	104	93	116	110	97	94	95
