sample_index	mutation_index	cluster_index	var	depth
0	0	0	38	93
0	1	1	8	96
0	2	2	5	105
0	3	3	1	113
0	4	4	1	102
0	5	5	6	111
0	6	6	13	96
0	7	7	22	99
0	8	8	0	97
0	9	9	1	117
0	10	10	5	92
0	11	11	9	106
0	12	12	7	103
0	13	13	2	115
0	14	14	0	101
0	15	15	17	94
0	16	16	0	122
0	17	17	0	90
0	18	18	33	88
0	19	19	12	91
0	20	20	0	120
0	21	21	3	89
0	22	22	25	103
0	23	23	1	82
0	24	24	31	91
0	25	25	2	100
0	26	26	3	114
0	27	27	0	99
0	28	28	1	80
0	29	29	0	96
0	30	30	1	109
0	31	31	3	111
0	32	32	6	105
0	33	33	0	116
0	34	34	1	109
0	35	35	6	92
0	36	36	0	106
0	37	37	2	100
0	38	38	17	98
0	39	39	4	105
0	40	40	8	105
0	41	41	2	105
0	42	42	0	93
0	43	43	2	105
0	44	44	2	91
0	45	45	16	87
0	46	46	0	86
0	47	47	0	93
0	48	48	0	90
0	49	49	0	88
1	0	0	43	104
1	1	1	1	108
1	2	2	3	85
1	3	3	1	91
1	4	4	0	100
1	5	5	3	103
1	6	6	18	92
1	7	7	27	115
1	8	8	1	93
1	9	9	5	92
1	10	10	5	80
1	11	11	2	122
1	12	12	5	101
1	13	13	1	90
1	14	14	1	96
1	15	15	17	103
1	16	16	0	109
1	17	17	1	80
1	18	18	34	100
1	19	19	12	94
1	20	20	0	117
1	21	21	3	94
1	22	22	16	74
1	23	23	0	105
1	24	24	20	106
1	25	25	2	95
1	26	26	2	82
1	27	27	0	100
1	28	28	1	92
1	29	29	1	104
1	30	30	1	100
1	31	31	1	106
1	32	32	3	115
1	33	33	3	98
1	34	34	1	83
1	35	35	4	106
1	36	36	0	107
1	37	37	0	96
1	38	38	19	112
1	39	39	2	88
1	40	40	3	99
1	41	41	1	92
1	42	42	1	102
1	43	43	0	87
1	44	44	1	102
1	45	45	33	116
1	46	46	0	96
1	47	47	0	102
1	48	48	3	108
1	49	49	1	101
2	0	0	37	113
2	1	1	2	116
2	2	2	4	108
2	3	3	1	93
2	4	4	0	109
2	5	5	4	79
2	6	6	23	107
2	7	7	24	102
2	8	8	0	109
2	9	9	3	102
2	10	10	2	92
2	11	11	7	95
2	12	12	6	124
2	13	13	3	103
2	14	14	0	99
2	15	15	20	100
2	16	16	0	116
2	17	17	0	90
2	18	18	39	100
2	19	19	14	90
2	20	20	0	81
2	21	21	4	107
2	22	22	15	108
2	23	23	0	107
2	24	24	29	100
2	25	25	1	86
2	26	26	1	104
2	27	27	0	84
2	28	28	1	90
2	29	29	3	117
2	30	30	1	103
2	31	31	0	97
2	32	32	7	93
2	33	33	0	86
2	34	34	11	104
2	35	35	2	83
2	36	36	1	77
2	37	37	1	102
2	38	38	10	110
2	39	39	4	101
2	40	40	4	101
2	41	41	0	117
2	42	42	0	96
2	43	43	5	111
2	44	44	1	100
2	45	45	29	94
2	46	46	6	100
2	47	47	0	80
2	48	48	1	87
2	49	49	0	109
3	0	0	41	97
3	1	1	0	111
3	2	2	4	111
3	3	3	3	87
3	4	4	0	102
3	5	5	2	95
3	6	6	24	108
3	7	7	23	100
3	8	8	0	84
3	9	9	1	125
3	10	10	3	88
3	11	11	9	85
3	12	12	4	93
3	13	13	0	90
3	14	14	0	107
3	15	15	18	90
3	16	16	0	115
3	17	17	0	87
3	18	18	43	117
3	19	19	13	92
3	20	20	1	104
3	21	21	3	117
3	22	22	20	101
3	23	23	2	94
3	24	24	33	92
3	25	25	1	104
3	26	26	5	100
3	27	27	0	83
3	28	28	5	111
3	29	29	0	99
3	30	30	1	98
3	31	31	2	96
3	32	32	10	110
3	33	33	1	112
3	34	34	6	90
3	35	35	7	103
3	36	36	0	103
3	37	37	2	95
3	38	38	9	104
3	39	39	6	89
3	40	40	4	82
3	41	41	1	104
3	42	42	0	107
3	43	43	0	111
3	44	44	3	107
3	45	45	20	91
3	46	46	5	135
3	47	47	0	96
3	48	48	0	99
3	49	49	0	98
4	0	0	39	99
4	1	1	2	103
4	2	2	3	105
4	3	3	0	107
4	4	4	1	90
4	5	5	5	96
4	6	6	13	100
4	7	7	20	98
4	8	8	1	84
4	9	9	0	108
4	10	10	0	115
4	11	11	3	101
4	12	12	3	89
4	13	13	0	98
4	14	14	0	101
4	15	15	21	92
4	16	16	2	111
4	17	17	0	108
4	18	18	35	115
4	19	19	10	96
4	20	20	5	113
4	21	21	2	108
4	22	22	11	82
4	23	23	0	107
4	24	24	38	99
4	25	25	2	112
4	26	26	4	96
4	27	27	1	106
4	28	28	0	121
4	29	29	2	94
4	30	30	0	110
4	31	31	0	105
4	32	32	6	113
4	33	33	2	93
4	34	34	2	102
4	35	35	8	90
4	36	36	0	90
4	37	37	1	94
4	38	38	13	101
4	39	39	5	108
4	40	40	2	99
4	41	41	1	90
4	42	42	0	105
4	43	43	0	96
4	44	44	0	88
4	45	45	16	102
4	46	46	1	90
4	47	47	2	102
4	48	48	0	100
4	49	49	0	104
5	0	0	36	95
5	1	1	0	95
5	2	2	0	93
5	3	3	1	91
5	4	4	1	101
5	5	5	5	107
5	6	6	26	104
5	7	7	38	104
5	8	8	1	98
5	9	9	0	93
5	10	10	3	103
5	11	11	3	91
5	12	12	5	99
5	13	13	1	97
