sample_index	mutation_index	cluster_index	var	depth
0	0	0	39	97
0	1	1	22	106
0	2	2	0	86
0	3	3	0	93
0	4	4	2	98
0	5	5	1	102
0	6	6	0	103
0	7	7	1	115
0	8	8	2	105
0	9	9	5	91
0	10	10	3	112
0	11	11	9	103
0	12	12	28	98
0	13	13	27	120
0	14	14	7	93
0	15	15	0	96
0	16	16	4	102
0	17	17	1	90
0	18	18	17	98
0	19	19	0	90
0	20	20	0	104
0	21	21	0	84
0	22	22	11	87
0	23	23	7	96
0	24	24	3	118
0	25	25	22	90
0	26	26	0	90
0	27	27	17	106
0	28	28	5	106
0	29	29	12	83
0	30	30	7	92
0	31	31	29	110
0	32	32	0	98
0	33	33	0	95
0	34	34	0	85
0	35	35	2	94
0	36	36	23	95
0	37	37	0	94
0	38	38	1	114
0	39	39	1	107
0	40	40	1	93
0	41	41	0	109
0	42	42	32	110
0	43	43	3	101
0	44	44	0	92
0	45	45	0	98
0	46	46	0	114
0	47	47	0	91
0	48	48	0	102
0	49	49	2	119
1	0	0	33	96
1	1	1	25	103
1	2	2	0	97
1	3	3	0	113
1	4	4	0	108
1	5	5	3	107
1	6	6	0	87
1	7	7	0	103
1	8	8	0	87
1	9	9	1	110
1	10	10	3	113
1	11	11	7	98
1	12	12	25	91
1	13	13	22	97
1	14	14	1	103
1	15	15	1	100
1	16	16	0	106
1	17	17	0	120
1	18	18	19	98
1	19	19	0	87
1	20	20	0	114
1	21	21	2	98
1	22	22	6	89
1	23	23	7	86
1	24	24	4	83
1	25	25	23	86
1	26	26	0	108
1	27	27	18	99
1	28	28	6	91
1	29	29	16	91
1	30	30	11	91
1	31	31	24	99
1	32	32	0	90
1	33	33	0	86
1	34	34	0	109
1	35	35	0	105
1	36	36	31	110
1	37	37	2	94
1	38	38	4	91
1	39	39	0	123
1	40	40	1	88
1	41	41	2	106
1	42	42	23	105
1	43	43	1	119
1	44	44	1	97
1	45	45	0	86
1	46	46	3	99
1	47	47	0	105
1	48	48	3	108
1	49	49	2	94
2	0	0	39	98
2	1	1	19	92
2	2	2	0	99
2	3	3	0	83
2	4	4	1	99
2	5	5	4	88
2	6	6	0	119
2	7	7	0	106
2	8	8	6	99
2	9	9	3	102
2	10	10	1	105
2	11	11	1	95
2	12	12	28	92
2	13	13	13	110
2	14	14	6	100
2	15	15	0	96
2	16	16	0	103
2	17	17	2	117
2	18	18	20	102
2	19	19	0	100
2	20	20	3	103
2	21	21	0	112
2	22	22	5	105
2	23	23	4	106
2	24	24	1	106
2	25	25	37	110
2	26	26	1	107
2	27	27	20	111
2	28	28	1	107
2	29	29	15	88
2	30	30	4	92
2	31	31	35	99
2	32	32	0	99
2	33	33	1	92
2	34	34	0	118
2	35	35	2	97
2	36	36	22	103
2	37	37	0	100
2	38	38	1	111
2	39	39	0	109
2	40	40	4	112
2	41	41	4	97
2	42	42	35	108
2	43	43	0	108
2	44	44	0	95
2	45	45	0	105
2	46	46	0	85
2	47	47	1	97
2	48	48	0	89
2	49	49	0	95
3	0	0	41	129
3	1	1	17	98
3	2	2	2	94
3	3	3	0	115
3	4	4	0	121
3	5	5	0	91
3	6	6	3	102
3	7	7	2	98
3	8	8	0	107
3	9	9	2	106
3	10	10	0	103
3	11	11	10	118
3	12	12	24	101
3	13	13	26	126
3	14	14	2	105
3	15	15	1	99
3	16	16	0	117
3	17	17	0	108
3	18	18	18	103
3	19	19	0	87
3	20	20	0	94
3	21	21	0	85
3	22	22	10	111
3	23	23	10	112
3	24	24	0	110
3	25	25	32	92
3	26	26	0	104
3	27	27	15	95
3	28	28	2	99
3	29	29	21	110
3	30	30	9	103
3	31	31	22	98
3	32	32	1	99
3	33	33	1	97
3	34	34	1	99
3	35	35	0	107
3	36	36	30	102
3	37	37	2	109
3	38	38	0	103
3	39	39	0	83
3	40	40	1	104
3	41	41	0	86
3	42	42	26	97
3	43	43	2	93
3	44	44	1	102
3	45	45	1	100
3	46	46	0	96
3	47	47	0	97
3	48	48	5	109
3	49	49	0	91
