36	10	8	0	0	2	0	5	1	4	7	1	0	1	2	45	0	0	0	1	0	0	3	0	2	0	5	10	0	2	1	1	3	2	4	0	0	0	6	7	2	3	6	0	9	3	16	0	0	0
40	3	8	2	2	1	5	4	3	0	9	2	1	7	1	40	2	4	1	3	0	2	3	0	2	0	4	16	4	1	2	0	2	2	1	0	3	5	5	4	1	3	1	3	5	4	24	2	1	1
42	3	11	2	1	2	3	3	1	0	11	0	0	6	1	28	0	5	1	2	2	0	2	1	1	0	4	18	3	6	0	1	0	1	5	1	0	1	3	1	0	3	1	0	4	1	14	0	0	1
39	3	6	1	0	1	4	8	2	1	9	1	0	9	1	32	1	4	2	1	2	4	2	0	2	1	1	25	2	0	2	0	4	0	1	0	0	2	6	0	0	1	0	0	8	6	22	0	0	1
47	8	16	3	0	2	1	6	7	0	17	0	0	11	1	51	0	2	2	6	0	3	0	0	0	0	3	20	1	0	2	0	0	4	1	1	2	2	12	0	0	1	2	4	6	5	22	1	0	0
35	8	4	3	2	2	5	6	4	0	10	1	2	5	1	25	3	3	1	3	1	1	1	0	0	1	6	17	1	1	0	2	0	0	4	1	0	0	4	2	1	3	1	1	8	5	15	1	0	0
28	6	5	0	3	1	1	1	3	0	4	2	0	6	3	34	0	1	0	2	1	0	4	0	0	0	4	11	1	0	1	3	1	2	3	0	1	1	2	2	1	1	2	3	6	5	15	0	0	1
54	4	9	5	0	9	3	3	7	1	7	3	0	7	0	37	1	2	3	3	3	2	0	4	0	0	5	33	0	1	0	2	6	0	3	0	1	6	13	1	0	0	3	9	11	4	23	0	1	0
45	4	4	0	1	3	1	9	0	0	11	1	2	14	3	28	0	1	1	1	0	3	2	4	0	0	9	19	4	0	1	1	2	0	1	2	3	2	7	4	0	3	0	6	9	3	11	1	4	0
37	7	3	1	4	0	3	3	0	1	9	1	2	10	0	28	1	1	2	0	3	1	1	3	0	1	4	12	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	9	8	8	0	0	0
